	fuzzy	strategy	similarity_metric	n_components	model	accuracy	precision	recall	f1_score
0	False	baseline_tok	cos	0	baseline_tok_cos	0.505	0.49743589743589745	0.9897959183673469	0.6621160409556314
1	False	baseline_tok	cos	15	baseline_tok_cos	0.63	0.6052631578947368	0.7040816326530612	0.6509433962264151
2	True	baseline_tok	wasserstein-1	14	baseline_tok_wasserstein-1	0.6	0.5703125	0.7448979591836735	0.6460176991150443
3	True	selective_intersection+union	wasserstein-1	14	selective_intersection+union_wasserstein-1	0.54	0.51875	0.8469387755102041	0.6434108527131783
4	True	baseline_tok	wasserstein-1	15	baseline_tok_wasserstein-1	0.6	0.5714285714285714	0.7346938775510204	0.6428571428571429
5	True	selective_intersection+union	wasserstein-1	15	selective_intersection+union_wasserstein-1	0.535	0.515527950310559	0.8469387755102041	0.640926640926641
6	True	selective_intersection+union	wasserstein-1	16	selective_intersection+union_wasserstein-1	0.535	0.515527950310559	0.8469387755102041	0.640926640926641
7	True	selective_intersection+union	wasserstein-1	19	selective_intersection+union_wasserstein-1	0.535	0.515527950310559	0.8469387755102041	0.640926640926641
8	True	selective_intersection+union	wasserstein-1	17	selective_intersection+union_wasserstein-1	0.53	0.5123456790123457	0.8469387755102041	0.6384615384615384
9	True	selective_intersection+union	wasserstein-1	18	selective_intersection+union_wasserstein-1	0.53	0.5123456790123457	0.8469387755102041	0.6384615384615384
10	True	selective_intersection+union	wasserstein-1	12	selective_intersection+union_wasserstein-1	0.535	0.5157232704402516	0.8367346938775511	0.6381322957198443
11	True	baseline_tok	wasserstein-1	16	baseline_tok_wasserstein-1	0.59	0.5625	0.7346938775510204	0.6371681415929203
12	True	selective_intersection+union	wasserstein-1	0	selective_intersection+union_wasserstein-1	0.525	0.50920245398773	0.8469387755102041	0.6360153256704981
13	True	selective_intersection+union	wasserstein-1	11	selective_intersection+union_wasserstein-1	0.53	0.5125	0.8367346938775511	0.6356589147286822
14	True	selective_intersection+union	wasserstein-1	13	selective_intersection+union_wasserstein-1	0.53	0.5125	0.8367346938775511	0.6356589147286822
15	True	selective_intersection+union	wasserstein-1	20	selective_intersection+union_wasserstein-1	0.53	0.5125	0.8367346938775511	0.6356589147286822
