	fuzzy	strategy	similarity_metric	n_components	model	accuracy	precision	recall	f1_score
0	True	selective_intersection+union	wasserstein-2	4	selective_intersection+union_wasserstein-2	0.517	0.4810810810810811	0.8870431893687708	0.6238317757009346
1	True	selective_intersection+union	wasserstein-2	1	selective_intersection+union_wasserstein-2	0.5035	0.4740184757505774	0.9091915836101883	0.6231499051233397
2	True	selective_intersection+union	wasserstein-2	0	selective_intersection+union_wasserstein-2	0.494	0.46939921392476136	0.9258028792912514	0.6229508196721312
3	True	intersection+intersection	wasserstein-2	1	intersection+intersection_wasserstein-2	0.4655	0.45668058455114824	0.9689922480620154	0.6207875133025895
4	True	intersection+union	wasserstein-2	1	intersection+union_wasserstein-2	0.4655	0.45668058455114824	0.9689922480620154	0.6207875133025895
5	True	selective_intersection+union	wasserstein-2	3	selective_intersection+union_wasserstein-2	0.509	0.47653000594177064	0.8881506090808416	0.6202629543696829
6	True	selective_intersection+union	wasserstein-2	2	selective_intersection+union_wasserstein-2	0.505	0.474366529169122	0.8914728682170543	0.6192307692307693
7	True	intersection+intersection	wasserstein-2	0	intersection+intersection_wasserstein-2	0.461	0.45440333507034913	0.9656699889258029	0.6180014174344437
8	True	intersection+union	wasserstein-2	0	intersection+union_wasserstein-2	0.461	0.45440333507034913	0.9656699889258029	0.6180014174344437
9	True	intersection+intersection	wasserstein-2	2	intersection+intersection_wasserstein-2	0.461	0.45426032409827494	0.9623477297895903	0.6171875
10	True	intersection+union	wasserstein-2	2	intersection+union_wasserstein-2	0.461	0.45426032409827494	0.9623477297895903	0.6171875
11	True	intersection+intersection	wasserstein-2	3	intersection+intersection_wasserstein-2	0.4615	0.45440251572327045	0.9601328903654485	0.6168623265741728
12	True	intersection+union	wasserstein-2	3	intersection+union_wasserstein-2	0.4615	0.45440251572327045	0.9601328903654485	0.6168623265741728
13	True	intersection+intersection	wasserstein-2	4	intersection+intersection_wasserstein-2	0.461	0.4541644840230487	0.9601328903654485	0.616642958748222
14	True	intersection+union	wasserstein-2	4	intersection+union_wasserstein-2	0.461	0.4541644840230487	0.9601328903654485	0.616642958748222
