	fuzzy	strategy	similarity_metric	n_components	model	accuracy	precision	recall	f1_score
45	True	intersection+intersection	quantum	0	intersection+intersection_quantum	0.35	0.42857142857142855	0.5454545454545454	0.48
46	True	intersection+union	quantum	0	intersection+union_quantum	0.35	0.42857142857142855	0.5454545454545454	0.48
47	True	baseline_tok	wasserstein-2	1	baseline_tok_wasserstein-2	0.45	0.5	0.45454545454545453	0.47619047619047616
48	True	baseline_tok	cos	1	baseline_tok_cos	0.55	0.75	0.2727272727272727	0.4
49	True	mean	wasserstein-1	1	mean_wasserstein-1	0.35	0.4	0.36363636363636365	0.38095238095238093
50	True	selective_intersection+intersection+mean	wasserstein-1	1	selective_intersection+intersection+mean_wasserstein-1	0.35	0.4	0.36363636363636365	0.38095238095238093
51	True	selective_intersection+mean	wasserstein-1	1	selective_intersection+mean_wasserstein-1	0.35	0.4	0.36363636363636365	0.38095238095238093
52	True	baseline_sent	wasserstein-2	1	baseline_sent_wasserstein-2	0.35	0.4	0.36363636363636365	0.38095238095238093
53	True	intersection+intersection	cos	1	intersection+intersection_cos	0.4	0.42857142857142855	0.2727272727272727	0.3333333333333333
54	True	intersection+union	cos	1	intersection+union_cos	0.4	0.42857142857142855	0.2727272727272727	0.3333333333333333
55	True	intersection+intersection	wasserstein-1	0	intersection+intersection_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
56	True	intersection+intersection	wasserstein-1	1	intersection+intersection_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
57	True	intersection+mean	wasserstein-1	0	intersection+mean_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
58	True	intersection+union	wasserstein-1	0	intersection+union_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
59	True	intersection+union	wasserstein-1	1	intersection+union_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
60	True	selective_intersection+intersection+mean	wasserstein-1	0	selective_intersection+intersection+mean_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
61	True	selective_intersection+mean	wasserstein-1	0	selective_intersection+mean_wasserstein-1	0.3	0.3333333333333333	0.2727272727272727	0.3
62	True	selective_intersection+union	cos	0	selective_intersection+union_cos	0.5	0.6666666666666666	0.18181818181818182	0.2857142857142857
63	True	intersection+mean	cos	1	intersection+mean_cos	0.35	0.3333333333333333	0.18181818181818182	0.23529411764705882
64	True	baseline_sent	wasserstein-1	0	baseline_sent_wasserstein-1	0.25	0.25	0.18181818181818182	0.21052631578947367
